product_id,name,slug,brand,model,sku,category,price,original_price,discount_percentage,currency,description,short_description,specifications_json,rating,review_count,stock,warranty,use_cases_json,tags_json,images_json,color_options_json,highlights_json,featured,created_at,updated_at
LAP-001,LuminaBook Pro 16 Ultimate,luminabook-pro-16-ultimate,Apple,LuminaBook Pro 16,SKU-LAP-001,Laptops,189999,199999,5,INR,"A premium 16-inch laptop engineered for creative professionals, software developers, and video editors. Featuring a high-fidelity Liquid Retina display and advanced silicon processing, it handles intensive rendering, multi-threaded coding, and virtualization workloads with ease, keeping energy consumption low.","Premium 16-inch display laptop configured for software engineers, designers, and creative directors needing high-power performance.","{""Processor"":""Apple M3 Pro (12-Core)"",""RAM"":""36 GB Unified"",""Storage"":""1 TB NVMe SSD"",""Display"":""16.2-inch Liquid Retina XDR"",""Graphics"":""Apple 18-Core GPU"",""Operating System"":""macOS Sonoma"",""Weight"":""2.14 kg"",""Battery"":""100 Wh"",""Connectivity"":""Wi-Fi 6E, Bluetooth 5.3""}",4.8,42,15,Limited 1-year warranty,"[""Coding"",""Video editing"",""3D design"",""Business""]","[""premium-laptop"",""m3-pro"",""coding"",""lightweight"",""macbook"",""1tb-ssd""]","[""/images/products/laptops/lap-001.webp""]","[""Space Grey"",""Silver""]","[""Liquid Retina XDR Display"",""Apple Silicon M3 Pro"",""Up to 22 Hours Battery Life""]",true,2026-07-01T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-002,ShopSmart CreatorBook 14,shopsmart-creatorbook-14,ASUS,CreatorBook 14,SKU-LAP-002,Laptops,84999,92999,9,INR,"An elegant 14-inch laptop tailored for students, content creators, and remote professionals. The high-resolution OLED screen offers exceptional color accuracy, making it ideal for photo editing and media production, while the efficient processor ensures smooth daily multitasking.","Compact 14-inch OLED laptop ideal for graphic design, academic research, and travel-oriented productivity.","{""Processor"":""Intel Core Ultra 7"",""RAM"":""16 GB LPDDR5X"",""Storage"":""512 GB PCIe Gen4 SSD"",""Display"":""14-inch 2.8K OLED 120Hz"",""Graphics"":""Intel Arc Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.39 kg"",""Battery"":""75 Wh"",""Connectivity"":""Wi-Fi 6E, Bluetooth 5.3""}",4.5,88,22,1 year,"[""College"",""Office work"",""Graphic design"",""Travel""]","[""oled-display"",""lightweight"",""intel-arc"",""productivity"",""travel-ready""]","[""/images/products/laptops/lap-002.webp""]","[""Pine Grey"",""Celadon Blue""]","[""2.8K 120Hz OLED Panel"",""Intel Core Ultra Power"",""Ultralight Chassis""]",true,2026-07-02T09:00:00.000Z,2026-08-02T12:00:00.000Z
LAP-003,Dell Inspiron 15 Student Edition,dell-inspiron-15-student-edition,Dell,Inspiron 15,SKU-LAP-003,Laptops,48999,54999,11,INR,"A practical and reliable 15.6-inch laptop configured for students, office users, and entry-level developers. Its 16GB memory supports multitasking across tabs, while the 512GB solid-state drive provides sufficient local storage for coursework, documents, and code repositories.",Reliable 15.6-inch office and college laptop with a full-size keyboard and balanced performance specifications.,"{""Processor"":""AMD Ryzen 5 7530U"",""RAM"":""16 GB DDR4"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Full HD WVA"",""Graphics"":""AMD Radeon Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.68 kg"",""Battery"":""54 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.2""}",4.1,156,45,1 year,"[""College"",""Office work"",""Coding""]","[""student-laptop"",""budget-friendly"",""full-size-keyboard"",""ryzen-powered""]","[""/images/products/laptops/lap-003.webp""]","[""Platinum Silver"",""Carbon Black""]","[""ComfortView Display Tech"",""AMD Ryzen Processor"",""Fast Charging Support""]",false,2026-07-03T11:00:00.000Z,2026-08-03T10:00:00.000Z
LAP-004,ThinkPad T14 Enterprise Workhorse,thinkpad-t14-enterprise-workhorse,Lenovo,ThinkPad T14 Gen 4,SKU-LAP-004,Laptops,112000,,,INR,"The standard choice for corporate deployments and professional software development. This laptop features robust military-grade durability, the iconic tactile keyboard, dual hardware security modules, and exceptional thermal performance for long coding sessions.",Durable 14-inch professional business laptop with superior keyboard acoustics and hardware security features.,"{""Processor"":""Intel Core i5-1340P"",""RAM"":""16 GB DDR5 (Upgradeable)"",""Storage"":""512 GB PCIe Gen4 SSD"",""Display"":""14-inch WUXGA IPS Anti-Glare"",""Graphics"":""Intel UHD Graphics"",""Operating System"":""Windows 11 Pro"",""Weight"":""1.37 kg"",""Battery"":""52.5 Wh"",""Connectivity"":""Wi-Fi 6E, Bluetooth 5.1""}",4.6,37,12,3 years,"[""Coding"",""Office work"",""Business"",""Travel""]","[""business-laptop"",""thinkpad"",""durable"",""windows-pro"",""coding""]","[""/images/products/laptops/lap-004.webp""]","[""Thunder Black""]","[""MIL-STD 810H Certified"",""Tactile Keyboard with TrackPoint"",""dTPM 2.0 Security Chip""]",false,2026-07-04T08:00:00.000Z,2026-08-04T09:00:00.000Z
LAP-005,ROG Strix Scar 16 Elite Gaming,rog-strix-scar-16-elite-gaming,ASUS,ROG Strix Scar 16,SKU-LAP-005,Laptops,245000,255000,4,INR,"An absolute powerhouse designed for AAA gaming and 3D modeling. Powered by Intel flagship processing and dedicated graphics, it features advanced liquid metal cooling, a high refresh rate display, and customizable RGB accents to complete the ultimate gaming station setup.",High-end gaming laptop containing top-tier dedicated graphics and a ultra-smooth 240Hz refresh rate display panel.,"{""Processor"":""Intel Core i9-14900HX"",""RAM"":""32 GB DDR5 Dual-Channel"",""Storage"":""2 TB PCIe Gen4 SSD"",""Display"":""16-inch QHD+ 240Hz ROG Nebula"",""Graphics"":""NVIDIA GeForce RTX 4080 (12GB)"",""Operating System"":""Windows 11 Home"",""Weight"":""2.65 kg"",""Battery"":""90 Wh"",""Connectivity"":""Wi-Fi 7, Bluetooth 5.4""}",4.9,29,8,2 years,"[""Gaming"",""Video editing"",""3D design""]","[""gaming-laptop"",""rtx-4080"",""i9-processor"",""240hz-display"",""2tb-ssd""]","[""/images/products/laptops/lap-005.webp""]","[""Eclipse Gray""]","[""RTX 4080 Desktop Grade GPU"",""240Hz ROG Nebula Display"",""Tri-Fan Thermal Technology""]",true,2026-07-05T14:00:00.000Z,2026-08-05T11:00:00.000Z
LAP-006,HP EliteBook V6,hp-elitebook-v6,HP,EliteBook V6,SKU-LAP-006,Laptops,72000,76000,5,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR5 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable HP laptop running a solid processor with 16 GB DDR5 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i7"",""RAM"":""16 GB DDR5"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.4,39,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-006.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-007,Lenovo EliteBook V7,lenovo-elitebook-v7,Lenovo,EliteBook V7,SKU-LAP-007,Laptops,76500,80500,5,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 32 GB DDR5 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable Lenovo laptop running a solid processor with 32 GB DDR5 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 7"",""RAM"":""32 GB DDR5"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.5,43,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-007.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-008,Dell EliteBook V8,dell-elitebook-v8,Dell,EliteBook V8,SKU-LAP-008,Laptops,81000,85000,5,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 8 GB DDR4 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable Dell laptop running a solid processor with 8 GB DDR4 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i5"",""RAM"":""8 GB DDR4"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.6,47,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-008.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-009,ASUS EliteBook V9,asus-elitebook-v9,ASUS,EliteBook V9,SKU-LAP-009,Laptops,85500,89500,4,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR4 memory and a responsive 1 TB NVMe SSD for user storage.",Reliable ASUS laptop running a solid processor with 16 GB DDR4 and 1 TB NVMe SSD for general work.,"{""Processor"":""AMD Ryzen 5"",""RAM"":""16 GB DDR4"",""Storage"":""1 TB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",4.7,51,30,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-009.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
LAP-010,MSI EliteBook V10,msi-elitebook-v10,MSI,EliteBook V10,SKU-LAP-010,Laptops,90000,94000,4,INR,"A standard multi-purpose laptop designed for corporate business tasking, spreadsheet editing, and online conferencing. It delivers a balanced computing architecture with a processor running 16 GB DDR5 memory and a responsive 512 GB NVMe SSD for user storage.",Reliable MSI laptop running a solid processor with 16 GB DDR5 and 512 GB NVMe SSD for general work.,"{""Processor"":""Intel Core i7"",""RAM"":""16 GB DDR5"",""Storage"":""512 GB NVMe SSD"",""Display"":""15.6-inch Anti-Glare Full HD"",""Graphics"":""Integrated Mobile Graphics"",""Operating System"":""Windows 11 Home"",""Weight"":""1.75 kg"",""Battery"":""45 Wh"",""Connectivity"":""Wi-Fi 6, Bluetooth 5.1""}",3.8,55,0,1 year,"[""College"",""Office work"",""Coding""]","[""laptop"",""productivity"",""office-work"",""windows-laptop""]","[""/images/products/laptops/lap-010.webp""]",,,false,2026-07-06T10:00:00.000Z,2026-08-01T10:00:00.000Z
